No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
0    00:14.348      00:14.371      00:37.731      23.360                Paused by player, Unpause by changed look direction
8    9:23:14.103    18704:50:40.63118704:50:42.8092.178      2.178      Paused by player, Unpause by player
9    9:23:15.903    18704:50:44.58618704:50:50.4785.892      5.892      Paused by player, Unpause by player
10   9:23:16.453    18704:50:51.01218704:50:52.9611.949      1.949      Paused by player, Unpause by player
11   9:23:42.353    18704:51:18.85518704:51:19.6630.808      0.808      Paused by player, Unpause by player
12   9:23:42.703    18704:51:20.00118704:51:21.2741.273      1.273      Paused by player, Unpause by player
13   9:23:43.153    18704:51:21.72118704:51:23.9402.219      2.219      Paused by player, Unpause by player
14   9:23:43.603    18704:51:24.37718704:51:32.2857.908      7.908      Paused by player, Unpause by player
15   9:24:06.353    18704:51:55.01718704:51:56.3581.341      1.341      Paused by player, Unpause by player
16   9:24:22.753    18704:52:12.74718704:52:30.22517.478     17.478     Paused by player, Unpause by player
17   9:24:32.553    18704:52:40.02018704:52:40.9230.903      0.903      Paused by player, Unpause by player
18   9:24:33.053    18704:52:41.41718704:52:48.5117.094      7.094      Paused by player, Unpause by player
19   9:24:54.853    18704:53:10.29418704:53:11.2790.985      0.985      Paused by player, Unpause by player
20   9:26:17.803    18704:54:34.24018704:55:38.27664.036     64.036     Paused by player, Unpause by player
21   9:27:16.553    18704:56:36.99018704:56:39.1972.207      2.207      Paused by player, Unpause by player
22   9:30:09.503    18704:59:32.11518704:59:32.7960.681      0.681      Paused by player, Unpause by player
23   9:30:10.003    18704:59:33.26918704:59:34.0510.782      0.782      Paused by player, Unpause by player
24   9:30:10.403    18704:59:34.44118704:59:36.2031.762      1.762      Paused by player, Unpause by player
25   9:31:41.403    18705:01:07.18418705:01:07.7470.563      0.563      Paused by player, Unpause by player
26   9:33:53.253    18705:03:19.56818705:03:20.7391.171      1.171      Paused by player, Unpause by player
27   9:34:07.653    18705:03:35.14018705:03:35.8540.714      0.714      Paused by player, Unpause by player
28   9:34:08.103    18705:03:36.29118705:03:37.8741.583      1.583      Paused by player, Unpause by player
29   9:34:08.803    18705:03:38.58918705:03:39.3040.715      0.715      Paused by player, Unpause by player
30   9:34:10.353    18705:03:40.83618705:03:49.5028.666      8.666      Paused by player, Unpause by player
31   9:34:11.303    18705:03:50.41118705:03:51.4241.013      1.013      Paused by player, Unpause by player
